aX,aY,aZ,gX,gY,gZ
0.137,0.942,-0.664,-74.341,-54.749,-40.894
0.156,0.905,-0.606,-79.590,-62.561,-40.039
0.186,0.884,-0.566,-85.754,-70.129,-38.269
0.217,0.863,-0.532,-97.107,-85.388,-33.325
0.256,0.847,-0.486,-100.769,-92.651,-30.518
0.266,0.877,-0.484,-102.234,-105.408,-23.254
0.299,0.923,-0.469,-100.708,-110.291,-18.005
0.318,0.911,-0.441,-96.252,-117.676,-5.737
0.334,0.879,-0.373,-93.994,-120.911,0.427
0.325,0.862,-0.350,-91.431,-123.901,6.409
0.312,0.849,-0.333,-84.412,-128.540,17.273
0.299,0.836,-0.301,-79.651,-130.310,22.156
0.302,0.823,-0.277,-68.481,-132.935,30.396
0.309,0.787,-0.211,-62.561,-134.216,33.325
0.317,0.775,-0.176,-50.598,-137.268,36.499
0.345,0.745,-0.120,-44.434,-138.916,36.987
0.358,0.739,-0.097,-38.147,-140.564,36.743
0.368,0.727,-0.077,-26.611,-143.250,36.133
0.361,0.652,-0.026,-22.034,-143.982,35.889
0.347,0.625,0.001,-14.038,-144.470,34.180
0.343,0.602,0.071,-9.888,-144.409,32.959
0.358,0.609,0.111,-5.432,-144.226,31.860
0.376,0.614,0.149,4.822,-143.799,30.273
0.411,0.623,0.209,10.193,-143.127,29.175
0.433,0.638,0.261,18.066,-140.320,26.489
0.476,0.696,0.407,19.531,-139.038,25.269
0.509,0.717,0.468,21.362,-137.451,22.461
0.599,0.795,0.581,22.888,-136.780,20.447
0.635,0.838,0.614,25.085,-135.864,18.250
0.675,0.877,0.618,31.372,-131.714,13.245
0.766,0.958,0.607,34.851,-127.319,10.925
