aX,aY,aZ,gX,gY,gZ
-0.434,0.326,-0.236,45.532,148.743,-187.073
-0.342,0.272,-0.249,41.626,105.774,-164.368
-0.211,0.208,-0.271,33.203,87.952,-153.442
-0.173,0.182,-0.261,24.353,71.655,-143.066
-0.135,0.163,-0.244,12.390,41.565,-124.451
-0.045,0.166,-0.207,9.949,27.405,-115.479
0.008,0.172,-0.211,12.756,2.319,-96.313
0.134,0.152,-0.269,16.846,-7.629,-86.365
0.201,0.131,-0.283,20.813,-20.935,-66.895
0.297,0.086,-0.270,17.273,-25.574,-57.434
0.331,0.053,-0.263,10.437,-29.541,-48.523
0.351,0.028,-0.262,-3.845,-36.743,-32.898
0.424,0.056,-0.304,-8.728,-40.039,-25.818
0.490,0.050,-0.340,-18.066,-43.579,-11.902
0.575,-0.017,-0.318,-25.574,-43.579,-5.798
0.604,-0.030,-0.266,-49.255,-45.288,4.395
0.672,-0.019,-0.237,-61.829,-47.852,9.521
0.736,-0.000,-0.286,-71.289,-50.964,15.137
0.831,0.015,-0.359,-77.576,-53.528,27.710
0.903,-0.004,-0.365,-76.782,-52.368,33.936
0.870,-0.014,-0.328,-74.585,-50.354,44.312
0.859,-0.021,-0.293,-73.364,-49.988,48.462
0.893,0.019,-0.301,-70.190,-49.011,56.519
1.153,0.028,-0.401,-70.190,-47.668,60.608
1.230,-0.016,-0.483,-73.914,-45.532,63.416
1.250,-0.052,-0.566,-88.562,-38.147,65.125
1.195,-0.067,-0.533,-95.398,-33.386,65.552
1.117,-0.016,-0.404,-104.553,-27.466,68.359
1.028,0.069,-0.217,-103.394,-26.672,70.129
1.002,0.145,-0.207,-88.013,-24.109,72.876
1.043,0.325,-0.189,-77.698,-20.935,75.012
1.080,0.319,-0.149,-68.237,-17.151,77.209
1.067,0.273,-0.135,-53.101,-10.254,76.294
1.010,0.237,-0.204,-46.570,-6.775,72.266
1.028,0.245,-0.237,-38.391,1.465,60.669
1.036,0.243,-0.213,-37.781,5.615,53.345
1.027,0.249,-0.206,-37.415,9.338,44.922
1.056,0.246,-0.232,-31.433,16.785,27.466
1.132,0.245,-0.302,-28.748,20.874,20.081
1.132,0.261,-0.268,-33.875,26.550,10.010
1.078,0.315,-0.139,-40.466,26.855,7.080
1.093,0.329,-0.112,-48.279,25.391,2.197
1.074,0.342,-0.142,-45.349,25.208,-0.977
1.041,0.326,-0.152,-38.940,25.696,-4.639
1.013,0.306,-0.152,-26.917,25.940,-11.353
0.977,0.256,-0.136,-23.743,24.414,-13.855
0.982,0.234,-0.156,-20.142,18.433,-17.334
0.973,0.295,-0.182,-17.761,16.052,-18.555
0.965,0.301,-0.185,-8.484,13.306,-18.982
0.926,0.231,-0.253,-3.784,12.756,-18.738
0.917,0.256,-0.266,0.244,13.000,-18.799
0.933,0.298,-0.266,6.226,14.893,-17.517
0.996,0.290,-0.265,6.287,15.930,-15.930
1.011,0.292,-0.269,0.488,18.372,-13.000
0.996,0.342,-0.298,-3.845,20.264,-11.475
0.987,0.339,-0.295,-8.423,22.705,-9.583
0.979,0.325,-0.284,-16.418,27.405,-6.042
0.947,0.305,-0.226,-18.921,28.564,-4.456
0.938,0.291,-0.206,-21.179,26.062,-0.916
0.926,0.261,-0.247,-20.325,22.888,0.793
0.896,0.259,-0.276,-11.536,17.273,2.869
0.968,0.374,-0.291,-2.869,15.564,4.089
1.024,0.395,-0.264,6.653,14.099,6.775
1.009,0.323,-0.234,19.409,9.949,13.855
0.851,0.215,-0.250,20.569,7.385,15.015
0.827,0.258,-0.281,15.869,4.089,14.771
0.849,0.285,-0.301,10.986,3.296,15.442
0.829,0.283,-0.294,5.493,2.747,16.235
0.803,0.266,-0.286,-0.488,1.587,16.296
0.811,0.260,-0.282,0.183,0.916,15.198
0.842,0.257,-0.270,4.578,-0.916,11.597
0.882,0.329,-0.283,7.080,-2.014,9.827
0.875,0.341,-0.297,9.888,-2.502,8.728
0.868,0.316,-0.294,13.855,-2.441,6.531
0.900,0.265,-0.242,14.038,-2.747,4.395
0.937,0.277,-0.230,12.390,-5.249,-0.916
0.965,0.352,-0.278,12.268,-6.409,-2.563
0.953,0.350,-0.276,13.611,-5.859,-2.991
0.940,0.337,-0.217,13.367,-5.127,-3.113
0.948,0.326,-0.213,12.451,-4.944,-3.235
0.945,0.314,-0.239,13.794,-5.188,-3.113
0.899,0.309,-0.261,15.869,-4.333,-2.991
0.899,0.292,-0.249,16.541,-1.648,-2.869
0.895,0.278,-0.222,15.076,-0.610,-3.113
0.889,0.286,-0.220,13.428,0.000,-3.418
0.891,0.291,-0.223,10.925,0.305,-3.174
0.909,0.263,-0.216,9.583,0.061,-2.625
0.911,0.272,-0.216,6.958,-1.160,-2.258
0.909,0.329,-0.247,6.409,-1.648,-2.075
0.914,0.346,-0.249,5.432,-1.770,-0.183
0.876,0.295,-0.231,4.272,-2.075,0.732
0.869,0.292,-0.240,3.357,-2.441,0.671
0.895,0.302,-0.242,3.174,-1.709,-0.488
0.951,0.339,-0.253,2.869,-0.610,-0.732
0.954,0.361,-0.261,-0.488,2.563,0.549
0.935,0.353,-0.227,-3.784,4.028,1.770
0.930,0.378,-0.187,-10.315,2.930,5.066
0.970,0.385,-0.272,-10.132,-0.122,8.911
0.964,0.314,-0.293,-5.432,-2.808,13.306
0.910,0.282,-0.250,7.996,-3.052,16.541
0.874,0.268,-0.201,11.169,-1.831,15.503
0.883,0.273,-0.199,8.484,0.305,12.512
0.884,0.269,-0.216,3.662,0.610,11.292
0.892,0.289,-0.234,-1.587,0.793,10.071
0.901,0.319,-0.238,-8.179,1.465,8.057
0.886,0.324,-0.209,-9.277,1.465,7.080
0.872,0.322,-0.214,-7.324,-0.183,4.028
0.893,0.340,-0.247,-4.700,-0.977,2.625
0.902,0.341,-0.247,-2.502,-1.404,1.709
0.900,0.341,-0.239,-3.479,-1.709,0.610
0.891,0.332,-0.224,-6.226,-2.136,0.183
0.885,0.323,-0.226,-10.132,-4.089,-1.465
0.891,0.337,-0.250,-9.521,-4.944,-2.258
0.905,0.339,-0.262,-5.066,-5.371,-1.953
0.903,0.324,-0.256,-2.625,-5.188,-1.099
0.894,0.316,-0.238,-0.916,-5.249,-0.244
0.889,0.317,-0.229,1.953,-6.958,0.854
-0.437,1.669,1.132,-117.249,-175.659,473.083
-0.557,1.773,1.179,-75.989,-184.143,493.591
-1.054,1.879,1.316,-62.622,-187.744,502.380
-1.332,1.923,1.326,-39.368,-189.880,515.442
-1.861,2.113,1.192,-22.217,-185.120,521.667
-2.225,2.147,1.162,0.061,-175.415,525.024
-2.525,2.166,1.149,55.969,-146.423,506.775
-2.716,2.088,1.022,83.984,-124.329,489.319
-2.786,1.940,0.911,107.422,-45.776,461.304
-3.088,1.625,0.666,93.445,15.137,451.782
-3.170,1.690,0.536,62.988,90.271,443.481
-3.234,1.896,0.410,-21.729,270.691,429.321
-3.444,2.277,0.160,-54.504,365.662,416.931
-3.555,2.366,-0.032,-76.050,545.776,370.544
-3.675,2.427,-0.467,-77.271,630.371,341.736
-3.766,2.396,-0.643,-86.426,710.937,312.805
-3.859,2.299,-0.772,-163.879,851.746,243.958
-3.818,1.965,-0.829,-233.643,906.982,194.275
-3.626,1.846,-0.720,-376.648,970.520,55.298
-3.101,1.941,-0.328,-410.767,971.313,-24.353
-2.842,2.084,-0.202,-370.728,916.077,-160.645
-2.342,2.222,-0.139,-310.303,874.329,-207.397
-2.164,2.185,-0.093,-235.046,831.116,-239.624
-2.013,2.047,-0.052,-86.365,743.896,-268.982
-1.658,1.517,0.003,-33.081,698.730,-272.827
-1.447,1.231,0.025,-2.869,603.577,-274.658
-1.019,0.876,0.077,-23.010,553.589,-275.146
-0.855,0.814,0.092,-83.008,451.538,-273.254
-0.651,0.817,0.075,-98.755,401.672,-269.226
-0.613,0.818,0.035,-96.191,354.553,-262.451
-0.591,0.783,-0.021,-45.166,273.743,-241.089
-0.508,0.615,-0.094,-11.230,240.906,-227.966
-0.450,0.524,-0.097,36.194,186.768,-199.768
-0.309,0.370,-0.165,46.753,163.635,-185.547
-0.252,0.303,-0.184,49.500,123.840,-158.752
-0.186,0.217,-0.174,43.091,105.591,-146.362
-0.143,0.178,-0.193,34.058,87.891,-134.766
-0.102,0.151,-0.203,17.944,56.030,-114.441
0.004,0.143,-0.219,13.306,41.321,-105.103
0.066,0.145,-0.246,12.329,14.893,-86.487
0.112,0.106,-0.262,14.465,3.540,-77.576
