aX,aY,aZ,gX,gY,gZ
-0.078,0.872,-0.563,2.869,46.814,-28.503
-0.105,0.873,-0.580,-3.113,41.870,-24.902
-0.103,0.874,-0.566,-12.268,34.058,-19.470
-0.080,0.849,-0.515,-14.099,30.090,-18.372
-0.083,0.847,-0.483,-14.038,25.757,-18.555
-0.082,0.858,-0.452,-12.634,15.564,-19.897
-0.038,0.905,-0.410,-12.817,10.071,-19.531
-0.022,0.930,-0.403,-12.024,0.122,-15.381
-0.028,0.953,-0.407,-9.094,-4.211,-12.085
-0.024,0.953,-0.397,0.183,-11.169,-5.249
-0.009,0.932,-0.372,4.333,-14.038,-2.380
-0.014,0.919,-0.365,7.385,-16.602,-0.061
-0.021,0.913,-0.357,10.010,-20.386,2.808
-0.024,0.910,-0.340,10.132,-21.484,3.845
-0.021,0.908,-0.330,10.681,-21.973,5.432
-0.000,0.909,-0.300,11.536,-21.545,5.859
0.013,0.913,-0.278,12.634,-20.203,6.165
0.011,0.936,-0.245,12.085,-19.897,6.287
0.001,0.951,-0.237,11.169,-19.958,6.592
-0.005,0.969,-0.232,10.498,-19.958,7.935
-0.002,0.995,-0.231,11.597,-19.409,8.911
0.005,0.997,-0.230,15.869,-16.541,10.986
0.007,0.984,-0.211,17.273,-14.771,11.780
0.004,0.977,-0.198,16.907,-13.306,12.146
-0.002,0.968,-0.192,10.376,-11.719,11.841
-0.011,0.952,-0.198,5.249,-11.230,11.108
-0.014,0.949,-0.204,-5.310,-9.827,8.789
-0.025,0.949,-0.213,-9.827,-8.789,7.385
-0.031,0.947,-0.211,-15.808,-6.348,4.150
-0.034,0.941,-0.209,-17.212,-5.432,2.197
-0.032,0.936,-0.209,-17.700,-4.700,0.000
-0.031,0.935,-0.207,-16.846,-3.845,-4.639
-0.033,0.952,-0.211,-15.869,-3.784,-6.592
-0.028,0.962,-0.218,-12.573,-3.479,-9.338
-0.008,0.975,-0.224,-10.132,-2.991,-9.888
-0.003,0.976,-0.223,-4.395,-1.587,-9.399
-0.001,0.975,-0.219,-1.282,-0.916,-8.606
0.002,0.967,-0.219,1.709,-0.183,-7.568
0.007,0.955,-0.221,7.080,1.282,-5.554
0.006,0.943,-0.222,8.789,2.075,-4.761
0.003,0.936,-0.224,9.033,3.479,-3.845
0.004,0.919,-0.231,8.057,4.150,-3.845
0.005,0.920,-0.232,4.211,5.737,-4.578
0.012,0.923,-0.236,1.526,6.653,-4.761
0.011,0.927,-0.241,-1.038,7.507,-4.700
0.007,0.934,-0.245,-5.066,9.399,-3.784
-1.115,1.309,-0.208,-90.210,-324.768,87.891
-1.097,1.373,-0.174,-186.829,-392.517,107.239
-1.022,1.443,-0.018,-233.398,-429.749,123.657
-0.976,1.484,0.036,-296.265,-510.925,165.771
-0.964,1.681,0.082,-304.321,-552.063,190.857
-0.989,1.689,0.049,-295.471,-591.553,217.590
-1.026,1.598,0.039,-240.173,-664.246,261.292
-1.211,1.434,0.016,-208.374,-700.256,272.644
-1.430,1.489,-0.043,-157.898,-771.912,280.396
-2.019,1.718,-0.327,-129.761,-804.871,279.724
-2.296,1.861,-0.573,-29.480,-857.849,263.123
-2.714,2.024,-1.245,45.471,-875.793,244.812
-2.865,2.075,-1.469,129.883,-887.939,219.116
-2.772,2.039,-1.585,299.133,-892.395,149.231
-2.390,1.654,-1.666,373.718,-879.456,105.591
-2.168,1.372,-1.565,469.604,-814.453,3.296
-1.764,0.997,-1.256,476.196,-764.099,-48.523
-1.610,0.882,-1.094,453.247,-703.918,-93.384
-1.389,0.807,-0.944,343.872,-565.491,-148.315
-1.162,0.678,-0.725,277.222,-492.798,-157.776
-1.138,0.581,-0.530,162.903,-354.614,-156.311
-1.224,0.403,-0.095,123.840,-295.044,-152.588
-1.260,0.344,0.048,85.754,-199.341,-150.818
-1.177,0.318,0.129,81.726,-159.607,-152.710
-1.067,0.354,0.151,83.801,-122.559,-154.663
-0.933,0.368,0.192,100.647,-54.993,-153.992
-0.645,0.279,0.245,111.694,-23.682,-151.611
-0.543,0.245,0.259,115.845,37.903,-141.663
-0.444,0.201,0.369,101.379,66.345,-133.301
-0.409,0.201,0.413,49.500,112.244,-113.403
-0.333,0.243,0.427,22.278,129.578,-103.455
-0.283,0.263,0.427,-0.244,143.799,-94.177
-0.217,0.285,0.429,-26.184,164.185,-77.637
-0.064,0.344,0.416,-30.945,171.387,-69.336
0.014,0.375,0.393,-33.997,182.983,-50.476
0.130,0.435,0.331,-35.034,188.293,-39.978
0.165,0.444,0.320,-36.133,193.176,-29.236
0.206,0.439,0.335,-35.828,198.486,-10.071
0.221,0.458,0.317,-32.959,198.730,-2.502
0.234,0.470,0.296,-22.034,197.144,9.766
0.293,0.513,0.168,-14.832,196.106,15.381
0.349,0.549,0.123,-0.122,197.815,27.710
0.337,0.638,0.136,5.676,197.998,35.034
0.316,0.663,0.115,8.911,197.510,42.786
0.319,0.675,0.098,10.071,196.960,56.458
0.365,0.669,0.060,9.949,196.167,61.218
0.399,0.695,0.012,11.841,195.068,67.444
0.428,0.839,-0.049,14.587,195.740,70.679
0.390,0.876,-0.026,18.494,196.228,74.219
0.326,0.873,-0.006,26.855,192.383,78.125
0.315,0.893,-0.055,29.846,188.904,77.515
0.350,0.932,-0.107,34.119,185.730,75.317
0.360,0.999,-0.203,36.560,186.829,74.707
0.358,1.009,-0.236,39.368,189.209,74.097
0.354,1.018,-0.254,45.349,194.824,71.411
0.334,1.068,-0.255,48.584,196.777,69.397
0.292,1.088,-0.248,54.504,197.876,64.880
0.209,1.146,-0.251,54.199,197.571,62.927
0.201,1.178,-0.292,50.293,197.693,61.890
0.204,1.191,-0.356,41.138,202.332,60.791
0.198,1.168,-0.466,41.260,206.482,58.716
0.183,1.145,-0.480,50.354,214.600,49.561
0.097,1.121,-0.408,54.016,216.980,43.335
0.048,1.119,-0.362,53.894,217.346,36.865
0.015,1.116,-0.368,42.786,213.745,25.146
0.016,1.089,-0.540,35.889,212.891,19.897
0.031,1.080,-0.627,30.212,218.384,9.705
0.043,1.080,-0.656,31.494,223.145,5.188
0.027,1.075,-0.619,32.471,227.051,1.343
0.004,1.065,-0.567,24.231,228.088,-5.493
-0.011,1.070,-0.555,14.526,225.159,-9.155
-0.006,1.070,-0.615,-5.249,217.834,-18.250
-0.056,1.060,-0.770,-10.315,215.271,-24.109
-0.081,1.052,-0.803,-4.211,211.609,-37.842
-0.065,1.054,-0.768,5.066,208.923,-44.312
-0.050,1.048,-0.728,14.954,204.773,-49.683
-0.051,1.037,-0.683,25.024,190.918,-55.725
