aX,aY,aZ,gX,gY,gZ
0.148,1.452,-1.007,-55.359,23.193,-16.602
0.128,1.468,-1.031,-76.904,-0.183,-33.813
0.119,1.523,-1.157,-84.045,-16.602,-44.128
0.126,1.565,-1.258,-95.459,-49.255,-63.782
0.139,1.617,-1.397,-99.915,-62.988,-72.449
0.128,1.637,-1.406,-103.699,-75.500,-80.811
0.112,1.661,-1.393,-115.540,-101.135,-95.581
0.090,1.684,-1.353,-125.977,-114.624,-101.440
0.083,1.668,-1.319,-154.114,-140.991,-111.755
0.067,1.605,-1.210,-171.387,-153.564,-116.882
0.074,1.555,-1.150,-207.886,-178.772,-128.235
0.109,1.509,-1.047,-221.374,-191.528,-134.583
0.114,1.520,-0.998,-229.980,-203.918,-140.320
0.111,1.529,-0.946,-237.976,-225.281,-147.217
0.112,1.500,-0.834,-240.784,-233.520,-148.682
0.103,1.474,-0.757,-247.681,-246.277,-150.024
0.081,1.455,-0.572,-251.953,-252.747,-149.414
0.085,1.459,-0.506,-260.071,-266.846,-142.822
0.073,1.427,-0.447,-262.634,-272.949,-136.963
0.069,1.374,-0.406,-263.062,-277.588,-130.615
0.073,1.312,-0.346,-254.883,-284.485,-120.422
0.044,1.223,-0.255,-246.216,-287.781,-117.004
0.060,1.184,-0.236,-223.389,-293.274,-110.901
0.106,1.097,-0.131,-211.670,-295.410,-107.300
0.073,1.060,-0.068,-193.298,-302.246,-97.961
0.002,0.947,0.010,-186.096,-306.702,-93.079
0.026,0.849,0.031,-177.490,-311.157,-89.355
0.068,0.742,0.061,-150.391,-317.810,-87.830
0.140,0.578,0.192,-133.728,-320.312,-89.355
0.170,0.483,0.256,-103.943,-326.111,-92.957
0.134,0.277,0.358,-93.384,-329.834,-94.849
0.062,0.199,0.397,-84.045,-338.867,-97.900
-0.052,0.087,0.482,-85.388,-343.445,-98.267
-0.056,0.071,0.544,-90.332,-347.168,-97.107
-0.055,0.076,0.632,-108.032,-350.891,-86.975
-0.065,0.107,0.766,-117.981,-351.074,-77.026
-0.118,0.133,0.799,-133.606,-346.558,-48.523
-0.279,0.192,0.886,-137.695,-341.980,-31.311
-0.327,0.229,0.947,-132.751,-327.698,6.226
-0.406,0.326,1.057,-120.728,-315.918,25.574
-0.486,0.380,1.137,-101.746,-300.842,44.678
-0.583,0.410,1.220,-54.321,-265.808,80.627
-0.761,0.421,1.337,-35.278,-247.742,97.351
-0.833,0.424,1.372,-16.663,-209.839,130.066
-0.935,0.469,1.464,-11.292,-188.843,145.935
-0.992,0.524,1.520,6.470,-142.334,176.880
-1.203,0.602,1.576,20.081,-117.432,191.833
-1.326,0.605,1.573,35.645,-91.370,205.872
-1.428,0.590,1.560,60.669,-33.813,231.018
-1.613,0.563,1.492,64.209,-0.244,242.737
-1.736,0.589,1.441,54.504,77.881,264.893
-2.064,0.792,1.358,46.997,121.887,275.330
-2.211,0.918,1.307,42.786,169.006,285.217
-2.344,1.055,1.254,56.824,276.794,301.025
-2.548,1.220,1.032,74.890,339.722,306.396
-2.644,1.219,0.811,111.694,487.122,309.692
-2.700,1.181,0.054,118.225,572.632,307.800
-2.695,1.165,-0.481,114.441,666.382,304.199
-2.739,1.171,-1.067,89.783,868.042,291.748
-2.995,1.203,-2.345,78.064,966.125,283.447
-3.188,1.193,-2.857,74.585,1128.357,263.489
-3.843,1.112,-3.207,91.858,1175.476,253.113
-4.000,1.168,-3.040,151.794,1161.133,244.019
-4.000,1.298,-2.320,168.152,1094.543,247.803
-3.780,1.299,-1.987,159.546,994.385,251.831
-3.356,1.305,-1.842,63.171,739.685,239.746
